id;asset_type;asset_code;reference;description;status;criticality;geofence_policy;responsible_name;cost_center;brand;model;serial_number;power_kw;voltage_v;current_a;cos_phi;speed_rpm;ip_rating;insulation_class;mounting_type;shaft_diameter_mm;foot_distance_amm;foot_distance_bmm;front_flange_mm;rear_flange_mm;iec_axis_height_mm;dimensions_source;has_heating;temperature_probe_type;last_commissioning_date;last_maintenance_date;maintenance_count;production_line_id
1;NON_INDUSTRIAL_ASSET;ASSET-001;REF-001;Asset test 1;SCRAPPED;CRITICAL;ZONE_ONLY;Responsable 1;CC-001;BrandA;ModelA;SN-001;15.5;400;28.4;0.82;1450;IP55;F;B35;28;120;95;160;140;90;MANUAL;true;NONE;2025-12-16;2025-12-16;3;1
2;NON_INDUSTRIAL_ASSET;ASSET-002;REF-002;Asset test 2;ACTIVE;CRITICAL;SITE_ONLY;Responsable 2;CC-002;BrandB;ModelB;SN-002;11.0;400;22.1;0.80;1500;IP54;F;UNKNOWN;25;110;90;150;130;80;MANUAL;true;NONE;2025-12-16;2025-12-16;2;2
3;NON_INDUSTRIAL_ASSET;ASSET-003;REF-003;Asset test 3;SCRAPPED;LOW;ZONE_ONLY;Responsable 3;CC-003;BrandC;ModelC;SN-003;7.5;400;15.2;0.78;1440;IP55;F;B3;20;100;80;140;120;71;MANUAL;true;NONE;2025-12-16;2025-12-16;1;3
4;NON_INDUSTRIAL_ASSET;ASSET-004;REF-004;Asset test 4;ACTIVE;LOW;ZONE_ONLY;Responsable 4;CC-004;BrandD;ModelD;SN-004;18.5;690;35.6;0.83;1480;IP55;F;B35;30;130;105;170;150;100;MANUAL;true;NONE;2025-12-16;2025-12-16;4;4
5;INDUSTRIAL_ASSET;ASSET-005;REF-005;Asset test 5;LOST;CRITICAL;NONE;Responsable 5;CC-005;BrandE;ModelE;SN-005;22.0;400;40.0;0.81;1450;IP55;F;UNKNOWN;35;150;120;190;170;112;MANUAL;true;PT1000;2025-12-16;2025-12-16;2;5
6;INDUSTRIAL_ASSET;ASSET-006;REF-006;Asset test 6;ACTIVE;MEDIUM;SITE_ONLY;Responsable 6;CC-006;BrandF;ModelF;SN-006;30.0;690;55.3;0.84;1480;IP55;F;UNKNOWN;40;160;130;200;180;132;MANUAL;true;PT1000;2025-12-16;2025-12-16;5;6
7;NON_INDUSTRIAL_ASSET;ASSET-007;REF-007;Asset test 7;ACTIVE;MEDIUM;SITE_ONLY;Responsable 7;CC-007;BrandG;ModelG;SN-007;5.5;230;12.0;0.75;1400;IP44;F;V1;18;90;70;120;100;63;MANUAL;false;PTC;2025-12-16;2025-12-16;1;7
8;INDUSTRIAL_ASSET;ASSET-008;REF-008;Asset test 8;LOST;HIGH;ZONE_ONLY;Responsable 8;CC-008;BrandH;ModelH;SN-008;45.0;690;82.5;0.86;1500;IP55;F;V1;50;200;160;250;230;160;MANUAL;true;PT1000;2025-12-16;2025-12-16;6;8
9;NON_INDUSTRIAL_ASSET;ASSET-009;REF-009;Asset test 9;INACTIVE;HIGH;SITE_ONLY;Responsable 9;CC-009;BrandI;ModelI;SN-009;9.2;400;18.7;0.79;1430;IP54;F;B3;22;105;85;145;125;80;MANUAL;true;PT100;2025-12-16;2025-12-16;2;9
10;NON_INDUSTRIAL_ASSET;ASSET-010;REF-010;Asset test 10;LOST;CRITICAL;NONE;Responsable 10;CC-010;BrandJ;ModelJ;SN-010;12.0;400;23.5;0.80;1450;IP55;F;B3;26;115;95;155;135;90;MANUAL;true;PTC;2025-12-16;2025-12-16;3;10
