id;source;observed_at;zone_confidence;rssi;tx_power;latitude;longitude;accuracy_meters;speed_kmh;gnss_constellation;raw_payload;asset_id
1;GNSS;2025-12-16T12:43:41;92;;;33.119845;-8.610234;6.5;0.0;GPS;{"tracker":"GNSS","fix":"3D","sat":9};1
2;GNSS;2025-12-16T21:11:41;88;;;33.120210;-8.608912;7.8;0.0;MULTI;{"tracker":"GNSS","fix":"3D","sat":11};2
3;MANUAL;2025-12-16T04:53:13;70;;;33.118450;-8.612870;35.0;0.0;;{"source":"manual","comment":"position saisie opérateur"};3
4;BLE;2025-12-16T05:27:05;85;-62;-8;33.121030;-8.607550;4.2;0.0;;{"beacon":"BLE-ZONE-ENGRAIS-306"};4
5;BLE;2025-12-16T15:48:00;90;-58;-8;33.122410;-8.605980;3.6;0.0;;{"beacon":"BLE-ZONE-ENGRAIS-307"};5
6;BLE;2025-12-16T01:09:17;78;-71;-12;33.117980;-8.614120;6.9;0.0;;{"beacon":"BLE-BROYAGE-308"};6
7;MANUAL;2025-12-16T07:53:43;65;;;33.116750;-8.615430;45.0;0.0;;{"source":"manual","comment":"déplacement atelier maintenance"};7
8;BLE;2025-12-16T11:22:47;87;-60;-8;33.121880;-8.606310;5.1;0.0;;{"beacon":"BLE-ZONE-ENGRAIS-307"};8
9;GNSS;2025-12-16T01:20:22;91;;;33.119120;-8.611540;9.4;2.3;GALILEO;{"tracker":"GNSS","fix":"2D","sat":7};9
10;MANUAL;2025-12-16T09:16:24;72;;;33.118920;-8.609870;30.0;0.0;;{"source":"manual","comment":"position déclarée chef d’équipe"};10
