id;asset_type;asset_code;reference;description;status;criticality;geofence_policy;responsible_name;cost_center;brand;model;serial_number;power_kw;voltage_v;current_a;cos_phi;speed_rpm;ip_rating;insulation_class;mounting_type;shaft_diameter_mm;foot_distance_amm;foot_distance_bmm;front_flange_mm;rear_flange_mm;iec_axis_height_mm;dimensions_source;has_heating;temperature_probe_type;last_commissioning_date;last_maintenance_date;maintenance_count;production_line_id
1;INDUSTRIAL_ASSET;308-B01-M01;308-B01-M01;MOTEUR ELECTRIQUE 3.65KW 660 YV 1450tr/min B5 SIEMENS;ACTIVE;HIGH;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LA9113-4KA91-Z;E1008_5266390_04_001;3.65;660;4.65;0.79;1450;IP55;F;B5;;;;;;;MANUAL;false;NONE;2024-01-10;2025-06-01;1;7
2;INDUSTRIAL_ASSET;308-B01-M02;308-B01-M02;MOTEUR ELECTRIQUE 2.75KW 660 YV 1445tr/min B5 SIEMENS;ACTIVE;HIGH;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LA9107-4KA91-Z;E1008_5266390_05_001;2.75;660;3.5;0.76;1445;IP55;F;B5;;;;;;;MANUAL;false;NONE;2024-01-12;2025-05-18;1;7
3;INDUSTRIAL_ASSET;308-B01-M03;308-B01-M03;MOTEUR ELECTRIQUE 2.75KW 660 YV 1445tr/min B35 SIEMENS;ACTIVE;HIGH;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LA9107-4KA96-Z;E1008_5266390_07_001;2.75;660;3.5;0.79;1445;IP55;F;B35;;;;;;;MANUAL;false;NONE;2024-01-15;2025-06-10;2;7
4;INDUSTRIAL_ASSET;308-B01-M05;308-B01-M05;MOTEUR ELECTRIQUE 630KW 10000 YV 1493tr/min B3 SIEMENS;ACTIVE;CRITICAL;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LA4450-4AN80-Z;A81296986010001_2010;630;10000;45.5;0.84;1493;IP55;F;B3;;;;;;;MANUAL;true;PT100;2023-11-20;2025-04-15;3;7
5;INDUSTRIAL_ASSET;308-C01-M01;308-C01-M01;MOTEUR ELECTRIQUE 355KW 660 YV 1488tr/min B3 SIEMENS;ACTIVE;CRITICAL;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LA8353-4AB60-Z;1303980000000;355;660;371;0.86;1488;IP55;F;B3;;;;;;;MANUAL;true;PTC;2023-09-01;2025-03-30;2;7
6;INDUSTRIAL_ASSET;308-C03-M01;308-C03-M01;MOTEUR ELECTRIQUE 82.8KW 660 YV 2978tr/min B3 SIEMENS;ACTIVE;HIGH;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LG6283-2AB90-Z;UC1008_073640801;82.8;660;87;0.88;2978;IP55;F;B3;;;;;;;MANUAL;true;PTC;2024-02-05;2025-07-01;1;7
7;INDUSTRIAL_ASSET;308-T01-M01;308-T01-M01;MOTEUR ELECTRIQUE 4KW 660 YV 1445tr/min M3 SEW EURODRIVE;ACTIVE;MEDIUM;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SEW_EURODRIVE;FA77_GDRS100LC4_RS_TF;401347900801;4;660;5.1;0.81;1445;IP55;F;M3;;;;;;;MANUAL;false;NONE;2024-03-12;2025-06-20;1;7
8;INDUSTRIAL_ASSET;308-T13-M01;308-T13-M01;MOTEUR ELECTRIQUE 15KW 660 YV 1460tr/min B3 WEG;ACTIVE;HIGH;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;WEG;160_L_04;1009014709;15;660;16.9;0.83;1460;IP55;F;B3;;;;;;;MANUAL;false;NONE;2024-01-30;2025-05-22;1;7
9;INDUSTRIAL_ASSET;308-Z21-M01;308-Z21-M01;MOTEUR ELECTRIQUE 20.2KW 660 YV 1475tr/min B5 SIEMENS;ACTIVE;HIGH;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SIEMENS;1LG6186-4AA91-Z;UD1009_1290687_001_000;20.2;660;23.5;0.83;1475;IP55;F;B5;;;;;;;MANUAL;true;PTC;2024-02-18;2025-06-05;2;7
10;INDUSTRIAL_ASSET;308-Z36-M01;308-Z36-M01;MOTEUR ELECTRIQUE 1.5KW 660 YV 1395tr/min M1 SEW EURODRIVE;ACTIVE;MEDIUM;ZONE_ONLY;Chef Atelier Broyage;CC-BROY-308;SEW_EURODRIVE;FA67_GDRS90M4;401351296202;1.5;660;2;0.82;1395;IP55;F;M1;;;;;;;MANUAL;false;NONE;2024-04-10;2025-07-10;1;7
