id;file_name;mime_type;size_bytes;storage_ref;checksum_sha_256;uploaded_at;uploaded_by
1;Fiche_technique_Moteur_ENG306.pdf;application/pdf;245678;/vault/assets/ENG306/fiche_technique.pdf;8f1a2c9e4b7d3a1c9f0eab45d21c7f9e;2025-12-16T09:05:00;youssef.hassani
2;Plan_implantation_Pompe_ENG307.dwg;application/acad;1345678;/vault/assets/ENG307/plan_implantation.dwg;2a9e4f8c1d7b3e5a6c9f0b2d8e4a7f1c;2025-12-16T13:00:00;imad.bougataya
3;Certificat_conformite_ATEX_BROYAGE.pdf;application/pdf;356789;/vault/assets/BROYAGE/atex_certificat.pdf;9c7a1b4e2d8f6a0c3e5b7d1f9a4c2e8b;2025-12-16T03:40:00;hse.ocp
4;Rapport_inspection_ENG306_2025-12-16.pdf;application/pdf;189234;/vault/assets/ENG306/inspection_20251216.pdf;4e2b8c7d1a9f0e5c3b6a2f4d8e7c9a1b;2025-12-16T15:45:00;maintenance.team
5;Photo_installation_capteur_BLE.jpg;image/jpeg;845612;/vault/assets/BROYAGE/photos/capteur_ble.jpg;6f3a9b8d1e2c7f0a4d5b9c8e7a6f2b1d;2025-12-16T16:22:00;youssef.hassani
6;Rapport_intervention_corrective.pdf;application/pdf;412345;/vault/assets/ENG307/interventions/corrective_20251216.pdf;1c7e9a4b5f8d2a0e6c3b7d9f1a4e8b2c;2025-12-16T15:57:00;maintenance.team
7;Historique_maintenance_moteur.xlsx;application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;98234;/vault/assets/ENG306/historique_maintenance.xlsx;5b9e2d8a7c1f3e4a0b6d9f2c8e7a1d4;2025-12-16T01:30:00;planner.ocp
8;Notice_fabricant_capteur_GNSS.pdf;application/pdf;276543;/vault/assets/COMMON/capteurs/notice_gnss.pdf;8a7d1c2e9b5f4a6c3e0b7d8f9a1c4e2b;2025-12-16T13:15:00;imad.bougataya
9;Rapport_audit_securite_asset.pdf;application/pdf;512678;/vault/assets/AUDIT/rapport_securite.pdf;3d7b1f9a5e2c8a0e4c6b9d8f1a2e7b4c;2025-12-16T21:15:00;hse.ocp
10;Schema_electrique_moteur_BROYAGE.pdf;application/pdf;768945;/vault/assets/BROYAGE/schema_electrique.pdf;9f1c4e2a7b8d3e6a0c5b7f9d8a1e2c4b;2025-12-16T12:45:00;engineering.ocp
