id;source;observed_at;zone_confidence;rssi;tx_power;latitude;longitude;accuracy_meters;speed_kmh;raw_payload;created_by;created_date;last_modified_by;last_modified_date
1;BLE;2025-12-16T07:27:16;5828;27726;21950;28756.72;14255.48;14246.54;29243.76;vaste sitôt que empêcher;snif;2025-12-16T08:56:24;premièrement après-demain reconstruire;2025-12-16T19:49:54
2;BLE;2025-12-16T19:07:35;31385;6812;1002;22980.88;22491.63;30070.28;30029.63;que cocorico;cot cot prestataire de services minuscule;2025-12-16T08:32:08;infime actionnaire;2025-12-16T09:16:16
3;GNSS;2025-12-16T16:21:55;17761;8265;4037;27783.95;16570.13;29175.81;2425.96;quitte à;délégation;2025-12-16T15:50:15;jusqu’à ce que;2025-12-16T23:45:09
4;BLE;2025-12-16T01:32:41;2036;25005;26014;16254.86;9309.9;21535.67;12646.03;sauvage toc-toc dès;feindre outre;2025-12-16T16:33:44;bè;2025-12-16T02:24:01
5;MANUAL;2025-12-16T17:44:51;31136;16309;30185;7277.99;13024.86;4131.26;15626.87;tendre;afin de sauf;2025-12-16T17:35:54;smack quoique durant;2025-12-16T23:45:12
6;MANUAL;2025-12-16T15:25:08;31857;26758;11207;1648.24;838.58;29623.01;17853.82;hi comprendre impressionner;tsoin-tsoin antagoniste;2025-12-16T13:55:16;si avancer insipide;2025-12-16T06:31:41
7;GNSS;2025-12-16T13:19:16;24164;21990;23224;23287.31;7790.95;25895.26;15441.33;sauter;monter bâtir;2025-12-16T20:01:10;groin groin bang;2025-12-16T02:45:43
8;BLE;2025-12-16T01:19:26;19484;12515;5502;9806.92;8369.42;11392.98;3555.91;énoncer devant maintenant;au-dessus de;2025-12-16T01:01:10;au-dessus de tandis que;2025-12-16T04:29:45
9;MANUAL;2025-12-16T04:01:42;12437;14958;22578;4549.74;1830.03;14603.12;13303.26;présidence;prout;2025-12-16T08:41:41;jusqu’à ce que;2025-12-16T02:15:48
10;MANUAL;2025-12-16T21:10:26;26749;30342;24143;17635.55;21377.19;9425.88;18802.07;via en decà de achever;du moment que différer membre de l’équipe;2025-12-16T01:21:46;ha ha pourvu que pallier;2025-12-16T17:29:45
