id;measured_at;value;quality;source;sensor_id
1;2025-12-16T22:10:32;145.6;GOOD;IOT_GATEWAY;1
2;2025-12-16T10:15:48;18.4;GOOD;EDGE_DEVICE;2
3;2025-12-16T12:15:14;6.2;GOOD;EDGE_DEVICE;3
4;2025-12-16T14:12:16;78.9;GOOD;SCADA;4
5;2025-12-16T13:49:29;42.1;GOOD;IOT_GATEWAY;5
6;2025-12-16T20:15:29;3.8;GOOD;EDGE_DEVICE;6
7;2025-12-16T11:48:29;-67.0;GOOD;BLE_RECEIVER;7
8;2025-12-16T23:54:57;91.3;GOOD;SCADA;8
9;2025-12-16T13:01:35;64.5;WARNING;IOT_GATEWAY;9
10;2025-12-16T02:51:42;110.2;ALARM;EDGE_DEVICE;10
