id;code;name;description;created_by;created_date;last_modified_by;last_modified_date
1;aussi vlan dresser;assurément;oser;pin-pon foule;2025-12-16T12:48:07;espiègle;2025-12-16T14:25:35
2;proche avant de;de façon que administration alors que;membre du personnel gratis communauté étudiante;un peu sage;2025-12-17T00:19:21;approximativement;2025-12-16T05:55:03
3;selon;certainement ramener;habile autour;loin dès franco;2025-12-16T03:59:49;actionnaire laver;2025-12-16T05:12:51
4;spécialiste terriblement;chez fonctionnaire près;à défaut de de façon à chef de cuisine;énorme de façon à ce que;2025-12-16T08:08:37;d’autant que toc pencher;2025-12-16T01:15:02
5;sur certes;terne;camarade trop;habile serviable;2025-12-16T17:45:38;de manière à à partir de au dépens de;2025-12-16T12:33:24
6;à l'égard de;plouf ding;à côté de au cas où tandis que;au moyen de entraîner;2025-12-16T04:20:25;rectorat coucher;2025-12-16T22:19:17
7;éclater coin-coin;coupable;attaquer;cadre;2025-12-16T19:43:08;enterrer plouf;2025-12-17T00:21:57
8;au-dehors adepte avant;à la merci autrement énergique;rectangulaire pour;de peur de oh ha;2025-12-16T11:49:26;où contre;2025-12-16T08:19:41
9;peindre;vu que;population du Québec amorcer croâ;au-dessous de juriste en decà de;2025-12-16T13:23:32;parlementaire probablement attaquer;2025-12-16T18:08:54
10;bon;en face de;extatique nonobstant;fourrer broum;2025-12-16T14:34:31;souple également;2025-12-16T07:50:47
