id;code;name;description;zone_type;center_lat;center_lon;radius_meters;created_by;created_date;last_modified_by;last_modified_date
1;repérer direction;aligner après que par suite de;de crainte que;dévoiler prou patientèle;7498.09;17883.44;22779.38;ding interdire critiquer;2025-12-16T03:14:13;menacer;2025-12-16T13:06:26
2;autour;areu areu chut badaboum;extrêmement;gigantesque bzzz;27250.85;21105.98;12178.82;coin-coin adepte quoique;2025-12-16T05:41:09;présenter bien que;2025-12-16T16:30:57
3;avant que;quand ? près de parce que;dans la mesure où;du moment que;27408.54;21286.44;8715.34;encore pacifique oups;2025-12-16T14:32:06;lors de;2025-12-16T15:39:30
4;incalculable écraser;devant gratis cuicui;cadre;hebdomadaire de manière à ce que;14475.44;2795.05;19675;toc;2025-12-16T08:34:34;fonctionnaire quoique;2025-12-16T16:23:29
5;de façon à ce que;candide infime cuicui;spécialiste;préparer antique;23840.19;26748.31;30177.84;en vérité à condition que;2025-12-16T16:16:21;personnel pourpre ouah;2025-12-16T18:20:32
6;ensuite à seule fin de rédaction;administration;pff;neutre triste;25815.34;23178.71;22586.31;après que jusque;2025-12-16T12:59:21;bof à l'entour de;2025-12-16T19:31:24
7;personnel miaou au lieu de;ensuite aïe;contre;longtemps;6336.44;7304.94;22626.49;broum;2025-12-16T02:40:16;sitôt que vaste toc-toc;2025-12-16T08:26:11
8;devant;police durant moquer;peut-être;dans la mesure où;3178.9;4253.51;11286.21;mélancolique prout comme;2025-12-16T13:41:12;orienter;2025-12-16T16:56:24
9;penser déchiffrer acheter;quoique;direction police aussitôt que;énorme super encourager;31017.58;21359.24;13957.18;par suite de coin-coin pas mal;2025-12-16T15:24:55;vouh séduire;2025-12-16T06:38:14
10;contre sans doute prout;ah naguère;à la faveur de;guide meuh athlète;10409.47;25585.15;5471.67;quand;2025-12-16T06:26:33;guide à côté de;2025-12-16T07:32:21
